epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1522.02,0.76298,0.59359,1.13538,0.86906,0.53739,0.67888,0.43599,1.86272,1.65743,2.2568,0.000577782,0.000577782,0.000577782
101,1537.53,0.76131,0.59965,1.16229,0.76801,0.55518,0.64825,0.43476,1.88994,1.71231,2.23735,0.00056678,0.00056678,0.00056678
102,1553.14,0.80424,0.63146,1.19652,0.71033,0.62435,0.67353,0.42951,1.87194,1.5419,2.30803,0.000555778,0.000555778,0.000555778
103,1568.61,0.76879,0.59353,1.15225,0.73103,0.62087,0.69006,0.44217,1.78283,1.41358,2.15613,0.000544776,0.000544776,0.000544776
104,1584.32,0.80575,0.63373,1.20171,0.85998,0.61574,0.68063,0.43025,1.84849,1.54828,2.21125,0.000533773,0.000533773,0.000533773
105,1599.53,0.75897,0.5834,1.13737,0.81332,0.57739,0.6846,0.42662,1.83659,1.68797,2.17642,0.000522771,0.000522771,0.000522771
106,1614.88,0.79011,0.65639,1.19675,0.79356,0.59772,0.67964,0.42919,1.84289,1.71514,2.22428,0.000511769,0.000511769,0.000511769
107,1629.99,0.74831,0.59615,1.1481,0.81699,0.58442,0.68147,0.42163,1.80042,1.62929,2.23376,0.000500767,0.000500767,0.000500767
108,1645.27,0.74561,0.56499,1.14174,0.79799,0.55913,0.66289,0.42172,1.80549,1.66908,2.21796,0.000489765,0.000489765,0.000489765
109,1661.12,0.77666,0.58499,1.1686,0.78921,0.59913,0.65252,0.41985,1.79551,1.6821,2.16502,0.000478762,0.000478762,0.000478762
110,1676.69,0.78344,0.60413,1.16237,0.85977,0.57755,0.63566,0.41677,1.7941,1.65584,2.21572,0.00046776,0.00046776,0.00046776
111,1693.18,0.77135,0.57531,1.16695,0.87543,0.55913,0.63576,0.3988,1.84847,1.67986,2.25194,0.000456758,0.000456758,0.000456758
112,1709.53,0.71864,0.54164,1.15034,0.86229,0.5738,0.64685,0.43009,1.80844,1.52172,2.24292,0.000445756,0.000445756,0.000445756
113,1725.66,0.8087,0.62393,1.19151,0.85395,0.56245,0.69784,0.42644,1.9051,1.49086,2.36761,0.000434754,0.000434754,0.000434754
114,1741.19,0.75762,0.5958,1.1681,0.826,0.62083,0.69528,0.42831,1.86573,1.52022,2.28953,0.000423751,0.000423751,0.000423751
